Regioaanduiding/Gemeentenaam (naam),Bevolking/Aantal inwoners (aantal),Bevolking/Bevolking naar herkomst/Herkomstland/Nederland (aantal),Bevolking/Bevolking naar herkomst/Herkomstland/Europa (exclusief Nederland)  (aantal),Bevolking/Bevolking naar herkomst/Herkomstland/Buiten Europa  (aantal)
Montferland                             ,110623,94607,8720,7306
Montfoort                               ,41608,36119,1980,3484
Mook en Middelaar                       ,24458,20291,2208,1974
Neder-Betuwe                            ,77123,68638,4411,4099
Nederland                               ,17942942,12941748,1677093,3324101
Nederweert                              ,52457,45962,3900,2620
Nieuwegein                              ,197891,133022,15029,49885
Nieuwkoop                               ,88506,76277,5549,6680
Nijkerk                                 ,136086,115880,6495,13691
Nijmegen                                ,561139,397298,55797,108099
Nissewaard                              ,262894,184352,22040,56512
Noardeast-Fryslân                       ,137626,126971,4314,6321
Noord-Beveland                          ,23828,19889,2500,1449
Noordenveld                             ,95061,85750,3511,5765
Noordoostpolder                         ,150085,119566,15354,15170
Noordwijk                               ,137209,108252,16091,12826
"Nuenen, Gerwen en Nederwetten           ",72696,60296,5659,6741
Nunspeet                                ,87227,79263,2924,5050
Oegstgeest                              ,77848,54245,10023,13600
Oirschot                                ,57835,51605,2899,3351
Oisterwijk                              ,98852,84675,6335,7832
Oldambt                                 ,118200,102031,8459,7775
Oldebroek                               ,72831,67023,2504,3319
Oldenzaal                               ,95374,78920,6791,9693
Olst-Wijhe                              ,56505,50611,2379,3500
Ommen                                   ,57091,50777,3111,3258
Oost Gelre                              ,89929,81325,4291,4293
Oosterhout                              ,173779,132631,13795,27328
Ooststellingwerf                        ,77474,70290,2908,4281
Oostzaan                                ,29084,24002,1629,3443
Opmeer                                  ,36589,32399,2163,2067
Opsterland                              ,90164,82841,2876,4452
Oss                                     ,283924,219106,26787,37986
Oude IJsselstreek                       ,118182,100244,7891,10067
Ouder-Amstel                            ,43352,28188,5500,9649
Oudewater                               ,30663,27119,1394,2140
Overbetuwe                              ,146759,125801,7559,13369
Papendrecht                             ,96543,75690,6186,14692
Peel en Maas                            ,136569,115727,13152,7750
Pekela                                  ,37547,32602,3061,1884
Pijnacker-Nootdorp                      ,173802,129181,12638,31988
Purmerend                               ,285498,199914,21422,64172
Putten                                  ,74938,67471,2906,4566
Raalte                                  ,115099,104905,3893,6271
Reimerswaal                             ,69970,57712,7757,4526
Renkum                                  ,94279,76964,6562,10798
Renswoude                               ,17263,15322,1035,896
Reusel-De Mierden                       ,40732,36216,2901,1595
Rheden                                  ,130981,105090,9278,16628
Rhenen                                  ,60690,52046,2856,5768
Ridderkerk                              ,143161,107806,8740,26610
Rijssen-Holten                          ,116050,104488,3166,8371
Rijswijk (ZH.)                          ,178912,102400,20411,56106
Roerdalen                               ,62431,50234,8341,3861
Roermond                                ,182238,121281,26456,34476
Roosendaal                              ,232679,163734,27544,41411
Rotterdam                               ,2011790,875684,257312,878834
Rozendaal                               ,5496,4310,527,659
Rucphen                                 ,71765,62344,5310,4101
Schagen                                 ,143259,123173,8813,11298
Scherpenzeel                            ,31033,28176,1130,1722
Schiedam                                ,245508,126711,34844,83908
Schiermonnikoog                         ,2917,2387,337,193
Schouwen-Duiveland                      ,103916,90711,6916,6279
Simpelveld                              ,30770,24813,4638,1314
Sint-Michielsgestel                     ,90299,80589,3972,5708
Sittard-Geleen                          ,277955,208552,35215,34158
Sliedrecht                              ,78796,64520,3731,10520
Sluis                                   ,69450,43092,22473,3875
Smallingerland                          ,169976,145494,7669,16853
Soest                                   ,143067,108356,8678,26013
Someren                                 ,60573,53009,4182,3342
Son en Breugel                          ,53884,44752,4077,5050
Stadskanaal                             ,96058,85398,4446,6229
Staphorst                               ,53224,49469,1664,2101
Stede Broec                             ,66642,55648,5529,5440
Steenbergen                             ,73391,61675,6596,5120
Steenwijkerland                         ,136422,120112,6971,9239
Stein (L.)                              ,74239,62431,6743,5030
Stichtse Vecht                          ,197638,152707,14022,30829
Súdwest-Fryslân                         ,271271,239788,12151,19302
Terneuzen                               ,165382,111481,34806,19055
Terschelling                            ,14693,13240,722,751
Texel                                   ,41455,35341,3126,2963
Teylingen                               ,115385,93025,9717,12708
Tholen                                  ,80556,70762,5330,4444
Tiel                                    ,127105,89181,11031,26943
Tilburg                                 ,689546,463269,83041,143196
Tubbergen                               ,64187,60325,2203,1684
Twenterand                              ,102213,95146,3143,3944
Tynaarlo                                ,104206,92371,4750,7075
Tytsjerksteradiel                       ,97790,89439,3003,5353
Uitgeest                                ,40200,34161,2123,3916
Uithoorn                                ,95050,62211,9614,23215
Urk                                     ,65868,62179,1310,2384
Utrecht                                 ,1122653,670758,121098,330797
Utrechtse Heuvelrug                     ,151660,123391,8886,19373
Vaals                                   ,30356,13812,14153,2396
Valkenburg aan de Geul                  ,49301,40465,5533,3323
Valkenswaard                            ,95139,77964,8439,8706
Veendam                                 ,82560,70157,3911,8452
Veenendaal                              ,208325,163656,10684,33995
Veere                                   ,66197,58698,4269,3230
Veldhoven                               ,140497,106065,13189,21213
Velsen                                  ,207596,160140,17627,29904
Venlo                                   ,311369,209714,52339,49336
Venray                                  ,133977,102236,16064,15692
Vijfheerenlanden                        ,185029,147313,9085,28646
Vlaardingen                             ,229244,143013,27132,59129
Vlieland                                ,3765,2925,630,210
Vlissingen                              ,136184,94809,17570,23775
Voerendaal                              ,37135,31382,3561,2187
Voorne aan Zee                          ,222909,179128,16905,26801
Voorschoten                             ,76860,56908,7355,12612
Voorst                                  ,76137,68362,2770,4970
Vught                                   ,97071,81503,5883,9670
Waadhoeke                               ,140701,124833,7385,8583
Waalre                                  ,53963,42036,5447,6485
Waalwijk                                ,150907,116402,15781,18734
Waddinxveen                             ,102005,79528,7133,15334
Wageningen                              ,127749,85666,14983,27100
Wassenaar                               ,81305,48917,13397,18971
Waterland                               ,52555,43413,3983,5179
Weert                                   ,153249,114697,17736,20841
West Betuwe                             ,158818,139075,8815,10978
West Maas en Waal                       ,60985,53926,3580,3469
Westerkwartier                          ,194691,176254,7456,10971
Westerveld                              ,60003,54705,2360,2978
Westervoort                             ,45451,35549,3012,6895
Westerwolde                             ,79380,66278,4794,8293
Westland                                ,347811,279869,32051,35871
Weststellingwerf                        ,79442,71637,3118,4672
Wierden                                 ,74786,68093,2474,4189
Wijchen                                 ,124660,106206,7594,10800
Wijdemeren                              ,73810,61308,4831,7701
Wijk bij Duurstede                      ,71835,61808,3362,6660
Winterswijk                             ,87696,72538,6892,8246
Woensdrecht                             ,66633,48485,13940,4193
Woerden                                 ,161169,130743,8596,21855
Wormerland                              ,49657,41180,2745,5732
Woudenberg                              ,43917,37553,1994,4365
Zaanstad                                ,484179,299140,49880,135179
Zaltbommel                              ,91155,75496,7803,7856
Zandvoort                               ,52414,38199,6655,7560
Zeewolde                                ,71689,56095,7785,7819
Zeist                                   ,199926,146370,14322,39209
Zevenaar                                ,135111,112037,10704,12375
Zoetermeer                              ,385299,244332,26460,114542
Zoeterwoude                             ,29217,24481,1523,3198
Zuidplas                                ,143523,113115,8817,21611
Zundert                                 ,67658,55379,8438,3826
Zutphen                                 ,146257,117186,8916,20115
Zwartewaterland                         ,70348,64126,3127,3105
Zwijndrecht                             ,134639,98409,9384,26851
Zwolle                                  ,399436,317967,20274,61180
