gemeente_naam,population,num_households,avg_income_household,median_income_household,pct_migration_background,votes_total,50PLUS_share_pct,BBB_share_pct,BIJ1_share_pct,BELANG_VAN_NEDERLAND_BVNL_share_pct,CDA_share_pct,CHRISTENUNIE_share_pct,D66_share_pct,DE_LINIE_share_pct,DENK_share_pct,ELLECT_share_pct,FNP_share_pct,FORUM_VOOR_DEMOCRATIE_share_pct,GROENLINKS_PARTIJ_VAN_DE_ARBEID_PVDA_share_pct,JA21_share_pct,LP_LIBERTAIRE_PARTIJ_share_pct,NL_PLAN_share_pct,NIEUW_SOCIAAL_CONTRACT_NSC_share_pct,PVV_PARTIJ_VOOR_DE_VRIJHEID_share_pct,PARTIJ_VOOR_DE_DIEREN_share_pct,PARTIJ_VOOR_DE_RECHTSSTAAT_share_pct,PIRATENPARTIJ_share_pct,SP_SOCIALISTISCHE_PARTIJ_share_pct,STAATKUNDIG_GEREFORMEERDE_PARTIJ_SGP_share_pct,VVD_share_pct,VOLT_share_pct,VREDE_VOOR_DIEREN_share_pct,VRIJ_VERBOND_share_pct,econ_CENTERLEFT_share_pct,econ_CENTERRIGHT_share_pct,econ_LEFT_share_pct,econ_RIGHT_share_pct,mig_CONSERVATIVE_share_pct,mig_EXTREME_CONSERVATIVE_share_pct,mig_EXTREME_PROGRESSIVE_share_pct,mig_PROGRESSIVE_share_pct
AA EN HUNZE,25935.0,11400.0,62300.0,53900.0,9.245647969052225,18007.0,1.5382906647414893,5.864386072083079,0.07219414672071972,0.1332815016382518,10.395957127783639,1.2606208696617982,17.376575776087076,0.0,0.17215527294940858,0.0,0.0444271672127506,4.8536680179930025,14.955295162992169,5.125784417171101,0.07219414672071972,0.0,0.3665241295051924,12.850558116288111,1.8937080024434942,0.0,0.0,2.760037763092131,0.37207752540678624,18.676070417060032,1.0940189926139834,0.12217470983506415,0.0,18.681623812961625,11.934247792525127,3.3542511245626705,34.51990892430722,30.61031820958516,15.843838507247181,3.1820958516132616,18.853779085911032
AALSMEER,33250.0,14300.0,77200.0,56000.0,26.725756779088112,19589.0,1.1434989024452498,1.9807034560212364,0.21440604420848436,0.18888151513604573,11.960794323344734,1.8224513757721172,16.024299351676962,0.0,1.3732196640971974,0.0,0.0,4.716932972586656,7.6267292868446575,9.12757159630405,0.07146868140282811,0.035734340701414055,0.3369237837561897,16.31527898310276,1.235387207106029,0.0,0.05104905814487723,1.1486038082597376,0.7402113431007198,22.951656541936803,0.7963653070600848,0.13272755117668078,0.005104905814487723,17.84675072744908,13.140027566491398,3.8031548317933535,38.781969472663235,36.0916841084282,15.825208024911941,2.3788861095512788,19.27612435550564
AALTEN,27466.0,11700.0,60200.0,50300.0,12.830845315505082,18138.0,1.3231888852133642,7.464990627412063,0.09372587936927997,0.18745175873855993,23.18888521336421,2.376226706362333,12.28911677141912,0.0,0.534788841107068,0.0,0.022053148086889404,5.469180725548572,8.484948726430698,6.351306649024148,0.03307972213033411,0.0,0.6340280074980703,14.907928106737236,0.8710993494321315,0.0,0.07167273128239056,1.400374903517477,0.9979049509317455,12.652993714852794,0.534788841107068,0.09372587936927997,0.016539861065167055,14.687396625868343,24.512074098577575,2.199801521667218,31.955011577902745,37.16506781343037,19.285478001984785,1.5933399492777596,15.310398059322969
ACHTKARSPELEN,28200.0,12100.0,53800.0,46100.0,5.970413677030738,17849.0,1.002857302930136,4.666928119222366,0.016807664294918482,0.15126897865426633,17.250266121351338,4.829402207406577,6.8855398061516055,0.0,0.07843576670961959,0.0,2.2858423441089135,9.13216426690571,6.7062580536724745,5.277606588604403,0.07283321194464676,0.0,0.3193456216034512,26.645750462210767,0.7563448932713318,0.005602554764972827,0.039217883354809795,1.204549274469158,3.0702000112051095,9.244215362205166,0.2689226287186957,0.07283321194464676,0.016807664294918482,14.000784357667097,18.253123424281473,1.2325620482940223,28.343324555997537,27.502941341251613,19.07669897473248,1.1149083982295926,14.135245672026443
ALBLASSERDAM,20242.0,8500.0,63000.0,50200.0,17.977113325950537,12038.0,1.412194716730354,1.5284931051669712,0.07476324970925403,0.19936866589134408,12.684831367336766,5.183585313174946,8.913440770892175,0.06645622196378137,1.5700282438943347,0.0,0.02492108323641801,5.549094533975744,6.753613557069281,6.778534640305699,0.06645622196378137,0.0,0.23259677687323477,17.82688154178435,1.262668217311846,0.0,0.05814919421830869,1.1463698288752284,17.993022096693803,10.217644126931384,0.3322811098189068,0.09137730520019936,0.033228110981890685,14.121947167303539,14.09702608406712,3.38926732015285,24.17345073932547,24.314670210998507,13.922578501412195,1.7610898820402063,15.783352716398074
ALBRANDSWAARD,26707.0,10600.0,78400.0,63900.0,25.52487232835256,16285.0,1.9220141234264658,1.234264660730734,0.33159349094258517,0.12281240405280934,12.213693583051889,1.3447958243782623,15.474362910653976,0.0368437212158428,2.0755296284924776,0.0,0.024562480810561865,4.900214921707093,7.694197113908505,10.095179613140926,0.10439054344488793,0.0,0.3193122505373043,18.483266809947803,1.5842800122812404,0.0,0.06754682222904514,1.2281240405280933,1.1912803193122505,18.513969910961006,0.7798587657353392,0.24562480810561868,0.012281240405280933,16.843721215842802,14.135707706478355,5.084433527786305,34.79275406816088,32.64967761743936,16.266502916794597,2.9413570770647834,18.999078906969604
ALKMAAR,112896.0,54100.0,56600.0,47200.0,25.603757206134397,67637.0,1.5938022088501855,2.389224832562059,0.32378727619498204,0.2291645105489599,8.92854502713012,0.814642872983722,20.848056537102476,0.06505315138164022,2.205893224122891,0.0,0.028091133551162824,5.245649570501352,16.26328784541006,6.066206366337951,0.13454174490293774,0.05913922852876384,0.43467332968641426,13.02097964132058,2.6893564173455355,0.0,0.14932655203512868,2.368526102576992,0.27795437408519,14.373789493916053,1.2507946833833554,0.23951387554149356,0.0,21.69079054363736,10.58148646450907,6.858672028623387,28.139923414699055,24.955275958425123,13.766133920783002,4.503452252465366,24.04601031979538
ALMELO,74776.0,33600.0,56100.0,43900.0,29.17269454631094,41097.0,1.610823174440957,2.727693018955155,0.0997639730393946,0.18736160790325326,12.241769472224249,1.8200841910601746,13.1396452295788,0.06813149378300119,3.893228216171497,0.0,0.029199211621286223,5.740078351217851,9.124753631651945,6.311896245468039,0.06083169087767964,0.0,0.5669513589799742,24.135581672628174,1.0195391391099107,0.0,0.09733070540428743,2.0561111516655717,0.7518796992481203,13.558167262817236,0.6326495851278682,0.12409664939046645,0.0024332676351071854,14.988928632260262,13.852592646665206,5.866608268243425,28.40839963987639,27.410759909482444,14.847799109424045,1.87604934666764,18.981920821471157
ALMERE,229574.0,95800.0,60800.0,53400.0,49.367451924138386,106096.0,1.7729226361031518,1.5259764741366308,1.1206831548786005,0.21866988387875133,6.2942995023375055,1.5655632634595085,16.693372040416225,0.0,5.362124868044035,0.029218820690695223,0.028276278087769568,4.9945332529030315,14.06273563565073,5.710865631126527,0.10462222892474739,0.0,0.547617252299804,19.209018247624794,2.377092444578495,0.0,0.1894510631880561,2.354471422108279,0.4571331624189413,14.222025335545165,0.9133237822349571,0.2271527673050822,0.018850852058513043,18.287211581963504,8.067222138440657,10.189828080229226,26.501470366460563,22.31846629467652,12.23137535816619,4.638252148997134,23.857638365254108
ALPHEN AAN DEN RIJN,115773.0,50500.0,64400.00000000001,54200.0,24.036621433542102,70533.0,1.4532204783576481,2.2032240227978397,0.20699530716118694,0.1828931138615967,13.739667956842897,2.22307288786809,17.410290218762846,0.07797768420455674,2.1805396055746957,0.0,0.0,4.725447662796138,9.981143578183262,7.135666992755165,0.07939546028100322,0.04253328229339458,0.3757106602583188,15.3318304906923,1.575149220932046,0.0,0.1105865339628259,1.4135227482171466,2.668254575872287,15.883345384429983,0.8790211673968213,0.11200431003927239,0.008506656458678916,19.633363106630934,15.23542171749394,5.064296145066848,30.03416840344236,31.118767101923922,14.1423163625537,2.7731700055293267,21.932995902627137
