"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Bevolking/Aantal inwoners (aantal)";"Bevolking/Bevolking naar herkomst/Herkomstland/Nederland (aantal)";"Bevolking/Bevolking naar herkomst/Herkomstland/Europa (exclusief Nederland)  (aantal)";"Bevolking/Bevolking naar herkomst/Herkomstland/Buiten Europa  (aantal)"
"Nederland";"Nederland                               ";17942942;12941748;1677093;3324101
"Aa en Hunze";"Aa en Hunze                             ";25845;23453;1062;1330
"Wijk 00 Annen";"Aa en Hunze                             ";3590;3345;100;150
"Annen";"Aa en Hunze                             ";3455;3210;95;150
"Verspreide huizen Annen";"Aa en Hunze                             ";140;130;5;5
"Wijk 01 Eext";"Aa en Hunze                             ";1460;1365;45;45
"Eext";"Aa en Hunze                             ";1285;1200;40;40
"Verspreide huizen Eext";"Aa en Hunze                             ";175;165;0;5
"Wijk 02 Anloo";"Aa en Hunze                             ";390;350;15;20
"Anloo";"Aa en Hunze                             ";330;295;15;20
"Verspreide huizen Anloo";"Aa en Hunze                             ";65;60;0;0
"Wijk 03 Gasteren";"Aa en Hunze                             ";390;345;20;15
"Gasteren";"Aa en Hunze                             ";375;335;20;15
"Verspreide huizen Gasteren";"Aa en Hunze                             ";10;5;0;0
"Wijk 04 Anderen";"Aa en Hunze                             ";260;240;10;10
"Anderen";"Aa en Hunze                             ";225;215;5;5
"Verspreide huizen Anderen";"Aa en Hunze                             ";30;25;5;0
"Wijk 05 Schipborg";"Aa en Hunze                             ";615;550;25;40
"Schipborg";"Aa en Hunze                             ";555;505;20;35
"Verspreide huizen Schipborg";"Aa en Hunze                             ";60;50;5;10
"Wijk 06 Eexterveen";"Aa en Hunze                             ";475;455;5;15
"Eexterveen";"Aa en Hunze                             ";450;435;5;10
"Verspreide huizen Eexterveen";"Aa en Hunze                             ";25;20;5;0
"Wijk 07 Spijkerboor";"Aa en Hunze                             ";145;145;0;0
"Spijkerboor";"Aa en Hunze                             ";145;140;5;0
"Verspreide huizen Spijkerboor";"Aa en Hunze                             ";0;0;0;0
"Wijk 08 Nieuw-Annerveen";"Aa en Hunze                             ";115;110;5;0
"Nieuw-Annerveen";"Aa en Hunze                             ";100;100;0;0
"Verspreide huizen Nieuw-Annerveen";"Aa en Hunze                             ";10;10;0;0
"Wijk 09 Oud-Annerveen";"Aa en Hunze                             ";115;105;5;10
"Oud-Annerveen";"Aa en Hunze                             ";115;105;5;10
"Verspreide huizen Oud-Annerveen";"Aa en Hunze                             ";5;5;0;0
"Wijk 11 Annerveenschekanaal";"Aa en Hunze                             ";405;365;15;25
"Annerveenschekanaal";"Aa en Hunze                             ";405;365;15;25
"Verspreide huizen Annerveenschekanaal";"Aa en Hunze                             ";5;5;0;0
"Wijk 12 Eexterveenschekanaal";"Aa en Hunze                             ";230;215;10;5
"Eexterveenschekanaal";"Aa en Hunze                             ";235;210;10;5
"Verspreide huizen Eexterveenschekanaal";"Aa en Hunze                             ";0;5;0;0
"Wijk 13 Eexterzandvoort";"Aa en Hunze                             ";120;115;0;5
"Eexterzandvoort";"Aa en Hunze                             ";95;85;5;5
"Verspreide huizen Eexterzandvoort";"Aa en Hunze                             ";30;30;5;0
"Wijk 14 Gasselte";"Aa en Hunze                             ";1865;1700;70;95
"Gasselte";"Aa en Hunze                             ";1540;1400;55;85
"Kostvlies";"Aa en Hunze                             ";135;125;10;5
"Verspreide huizen Gasselte";"Aa en Hunze                             ";195;175;10;10
"Wijk 15 Gasselternijveen";"Aa en Hunze                             ";1860;1665;60;140
"Gasselternijveen";"Aa en Hunze                             ";1815;1615;65;140
"Gasselterboerveen";"Aa en Hunze                             ";45;45;0;0
"Verspreide huizen Gasselternijveen";"Aa en Hunze                             ";0;0;0;0
"Wijk 16 Gasselternijveenschemond";"Aa en Hunze                             ";670;605;30;40
"Gasselternijveenschemond";"Aa en Hunze                             ";625;570;25;35
"Gasselterboerveenschemond";"Aa en Hunze                             ";40;35;0;5
"Verspr.h. Gasselternijveenschemond";"Aa en Hunze                             ";5;5;0;0
"Wijk 17 Gieten";"Aa en Hunze                             ";4965;4525;145;295
"Gieten";"Aa en Hunze                             ";4775;4375;135;260
"Verspreide huizen Gieten";"Aa en Hunze                             ";190;145;5;30
"Wijk 18 Gieterveen";"Aa en Hunze                             ";1255;1160;35;70
"Gieterveen";"Aa en Hunze                             ";685;635;15;35
"Bonnerveen";"Aa en Hunze                             ";105;95;5;5
"Nieuwediep";"Aa en Hunze                             ";270;245;10;15
"Verspreide huizen Gieterveen";"Aa en Hunze                             ";200;185;5;10
"Wijk 19 Rolde";"Aa en Hunze                             ";4975;4555;135;290
"Rolde";"Aa en Hunze                             ";3680;3360;100;225
"Ballo";"Aa en Hunze                             ";160;150;5;5
"Nijlande";"Aa en Hunze                             ";60;55;0;0
"Deurze";"Aa en Hunze                             ";80;75;0;0
"Verspreide huizen Nooitgedacht";"Aa en Hunze                             ";845;770;30;50
"Verspreide huizen Rolde";"Aa en Hunze                             ";145;140;0;10
"Wijk 20 Grolloo";"Aa en Hunze                             ";1415;1055;315;50
"Grolloo";"Aa en Hunze                             ";640;600;15;25
"Schoonloo";"Aa en Hunze                             ";185;170;10;0
"Verspreide huizen Papenvoort";"Aa en Hunze                             ";355;65;280;15
"Verspreide huizen Grolloo";"Aa en Hunze                             ";230;215;5;10
"Wijk 21 Ekehaar";"Aa en Hunze                             ";525;500;10;15
"Ekehaar";"Aa en Hunze                             ";265;245;10;5
"Amen";"Aa en Hunze                             ";105;100;0;5
"Verspreide huizen Ekehaar";"Aa en Hunze                             ";160;155;0;5
"Aalsmeer";"Aalsmeer                                ";33279;24391;3935;4953
"Wijk 00 Aalsmeer";"Aalsmeer                                ";13585;10155;1640;1795
"Centrum";"Aalsmeer                                ";2990;2255;435;305
"Stommeer";"Aalsmeer                                ";7020;5175;790;1055
"Hornmeer";"Aalsmeer                                ";2720;1985;350;380
"Uiterweg";"Aalsmeer                                ";855;745;60;50
"Wijk 01 Kudelstraat en Kalslagen";"Aalsmeer                                ";9255;7140;765;1350
"Kudelstaart";"Aalsmeer                                ";9260;7140;765;1355
"Wijk 02 Oosteinde";"Aalsmeer                                ";10440;7095;1535;1810
"Bovenlanden";"Aalsmeer                                ";975;785;105;80
"Greenpark";"Aalsmeer                                ";1215;615;510;90
"Oosteinde";"Aalsmeer                                ";7790;5350;850;1595
"Schinkelpolder";"Aalsmeer                                ";460;345;75;45
"Aalten";"Aalten                                  ";27308;23789;1988;1531
"Wijk 01 Buitengebied Aalten";"Aalten                                  ";4045;3750;205;85
"Barlo-Kern";"Aalten                                  ";110;110;0;0
"Verspreide huizen Barlo";"Aalten                                  ";480;460;10;10
"Verspreide huizen Heurne";"Aalten                                  ";340;320;10;5
"Verspreide huizen IJzerlo";"Aalten                                  ";495;455;25;10
"IJzerlo-kern";"Aalten                                  ";160;160;0;0
"Lintelo-kern";"Aalten                                  ";170;165;0;5
"Verspreide huizen ten westen van Aalten";"Aalten                                  ";250;215;25;10
"Verspreide huizen Lintelo";"Aalten                                  ";675;610;55;15
"Verspreide huizen Dalese Veld";"Aalten                                  ";100;95;5;5
"Verspreide huizen Dale";"Aalten                                  ";620;565;35;20
"Verspreide huizen Haart";"Aalten                                  ";550;510;30;5
"Haart-kern";"Aalten                                  ";90;85;0;0
"Wijk 02 Bredevoort";"Aalten                                  ";1960;1805;95;60
"Verspreide huizen Bredevoort";"Aalten                                  ";220;210;10;0
"Verspreide huizen Hollenberg";"Aalten                                  ";190;175;10;10
"Verspreide huizen Het Zwanenbroek";"Aalten                                  ";70;70;0;5
"Bredevoort";"Aalten                                  ";1470;1355;70;45
"Wijk 03 Aalten Kern";"Aalten                                  ";12990;11335;745;905
"Aalten-kern West";"Aalten                                  ";2015;1715;120;185
"Aalten-kern Zuid 1";"Aalten                                  ";2370;2040;165;170
"Aalten-kern Zuid 2";"Aalten                                  ";1490;1340;85;60
"Aalten-kern Noord/Noordoost";"Aalten                                  ";2765;2500;130;135
"Aalten Kern 't Kobus";"Aalten                                  ";995;880;30;90
"Aalten-kern Oost";"Aalten                                  ";1015;880;50;85
"Aalten-kern Centrum";"Aalten                                  ";2340;1990;165;185
"Wijk 04 Dinxperlo";"Aalten                                  ";8315;6900;935;480
"Dinxperlo Centrum/Oost";"Aalten                                  ";2890;2255;395;245
"Dinxperlo Noord";"Aalten                                  ";1750;1450;210;90
"Dinxperlo West";"Aalten                                  ";2370;1975;270;120
"De Heurne-kern";"Aalten                                  ";365;350;10;5
"Verspreide huizen Dinxperlo";"Aalten                                  ";265;240;15;10
"Verspreide huizen De Heurne";"Aalten                                  ";665;630;30;10
"Achtkarspelen";"Achtkarspelen                           ";28226;26538;713;975
"Wijk 00 Noord";"Achtkarspelen                           ";12140;11180;445;515
"Buitenpost";"Achtkarspelen                           ";5230;4720;200;310
"Twijzel";"Achtkarspelen                           ";1020;945;50;25
"Kootstertille";"Achtkarspelen                           ";2120;1960;110;55
"Twijzelerheide";"Achtkarspelen                           ";1585;1500;40;50
"Gerkesklooster";"Achtkarspelen                           ";725;665;25;40
"Verspreide huizen Buitenpost";"Achtkarspelen                           ";710;675;10;20
"Verspreide huizen Twijzel";"Achtkarspelen                           ";95;90;0;5
"Verspreide huizen Kootstertille";"Achtkarspelen                           ";350;340;10;0
"Verspreide huizen Twijzelerheide";"Achtkarspelen                           ";230;220;5;0
"Verspreide huizen Gerkesklooster";"Achtkarspelen                           ";70;65;0;0
"Wijk 01 Centrum";"Achtkarspelen                           ";3190;3055;70;70
"Stroobos";"Achtkarspelen                           ";240;230;0;10
"Drogeham";"Achtkarspelen                           ";1480;1415;25;35
"Augustinusga";"Achtkarspelen                           ";1030;990;15;20
"Verspreide huizen Stroobos";"Achtkarspelen                           ";65;60;0;0
"Verspreide huizen Drogeham";"Achtkarspelen                           ";190;180;5;0
"Verspreide huizen Augustinusga";"Achtkarspelen                           ";195;175;20;5
"Wijk 02 Zuid";"Achtkarspelen                           ";12890;12305;195;390
"Surhuisterveen";"Achtkarspelen                           ";5715;5390;90;240
"Harkema";"Achtkarspelen                           ";4030;3905;55;70
"Surhuizum";"Achtkarspelen                           ";840;795;15;35
"Boelenslaan";"Achtkarspelen                           ";750;700;25;25
"Verspreide huizen Surhuisterveen";"Achtkarspelen                           ";415;405;10;0
"Verspreide huizen Harkema";"Achtkarspelen                           ";305;290;0;10
"Verspreide huizen Surhuizum";"Achtkarspelen                           ";380;375;0;5
"Verspreide huizen Boelenslaan";"Achtkarspelen                           ";455;440;10;5
"Alblasserdam";"Alblasserdam                            ";20314;16673;1270;2371
"Wijk 01 Centrum";"Alblasserdam                            ";4930;4230;305;395
"Cortgene";"Alblasserdam                            ";980;800;110;70
"Redersbuurt";"Alblasserdam                            ";635;530;35;75
"kerkbuurt";"Alblasserdam                            ";1590;1405;70;115
"Polderbuurt";"Alblasserdam                            ";525;490;15;25
"De Werven";"Alblasserdam                            ";1205;1015;70;120
"Wijk 02 Kinderdijk";"Alblasserdam                            ";3805;3130;225;455
"Dijk";"Alblasserdam                            ";620;575;20;25
"Vogelbuurt";"Alblasserdam                            ";1215;970;85;160
"Waterland";"Alblasserdam                            ";440;350;45;50
"Groene Long";"Alblasserdam                            ";15;10;0;0
"Rivierenbuurt";"Alblasserdam                            ";925;755;40;130
"Nieuw Kinderdijk";"Alblasserdam                            ";590;475;30;95
"Wijk 03 Blokweer";"Alblasserdam                            ";7375;5865;450;1065
"Zeelt";"Alblasserdam                            ";910;790;45;80
"Middelland";"Alblasserdam                            ";570;505;25;35
"Blokweer Noord";"Alblasserdam                            ";950;835;40;75
"Blokweer Zuid";"Alblasserdam                            ";775;690;45;35
"Drentsebuurt";"Alblasserdam                            ";905;695;45;170
"Florabuurt";"Alblasserdam                            ";1595;1255;75;260
"Staatsliedenbuurt";"Alblasserdam                            ";1680;1090;180;410
"Wijk 04 Souburgh";"Alblasserdam                            ";3825;3210;185;430
"Schildersbuurt";"Alblasserdam                            ";1275;1070;65;145
"Schrijversbuurt";"Alblasserdam                            ";1590;1335;70;185
"Klein Alblas";"Alblasserdam                            ";460;420;10;30
"Oranjebuurt";"Alblasserdam                            ";500;390;35;75
"Wijk 05 Bedrijventerrein";"Alblasserdam                            ";160;45;100;20
"Vinkenwaard";"Alblasserdam                            ";135;25;100;20
"Hoogendijk";"Alblasserdam                            ";0;0;0;0
"Nieuwland";"Alblasserdam                            ";25;25;0;0
"Wijk 06 Landelijk gebied";"Alblasserdam                            ";215;195;10;10
"Polder Blokweer";"Alblasserdam                            ";5;5;0;0
"Polder Kortland";"Alblasserdam                            ";50;50;5;0
"Polder Souburgh";"Alblasserdam                            ";30;25;0;0
"Polder Vinkenwaard";"Alblasserdam                            ";130;115;5;5
"Albrandswaard";"Albrandswaard                           ";26428;19681;1789;4958
"Wijk 01 Poortugaal-Noord";"Albrandswaard                           ";2630;2010;175;445
"Valckesteyn";"Albrandswaard                           ";2370;1780;165;425
"Zwaardijk-Kruisdijk";"Albrandswaard                           ";100;80;5;15
"Poortugaal";"Albrandswaard                           ";50;45;0;0
"Buitengebied Poortugaal";"Albrandswaard                           ";110;110;0;5
"Wijk 02 Rhoon-Noord";"Albrandswaard                           ";2025;1510;190;320
"Rhoon Noord";"Albrandswaard                           ";1990;1485;190;320
"Buitengebied Rhoon-Noord";"Albrandswaard                           ";35;30;5;0
"Wijk 03 Poortugaal-Zuid";"Albrandswaard                           ";7020;5380;465;1170
"Beatrixstraat";"Albrandswaard                           ";975;665;115;190
"Landweg";"Albrandswaard                           ";1855;1515;80;260
"Poortugaal-Centrum";"Albrandswaard                           ";1065;905;60;105
"Poortugaal Zuid";"Albrandswaard                           ";2340;1835;175;330
"Polder Albrandswaard";"Albrandswaard                           ";705;385;35;280
"Kijvelanden";"Albrandswaard                           ";85;80;0;5
"Wijk 04 Rhoon-Zuid";"Albrandswaard                           ";7030;5535;460;1035
"Rhoon-Centrum";"Albrandswaard                           ";1550;1250;135;165
"Ghijseland";"Albrandswaard                           ";1320;1030;90;200
"Overhoeken";"Albrandswaard                           ";185;130;5;45
"Park Rhoon";"Albrandswaard                           ";920;735;45;135
"Rhoon-Zuidoost";"Albrandswaard                           ";1705;1265;90;350
"Tijsjesdijk";"Albrandswaard                           ";1200;995;80;130
"Buitengebied Rhoon-Zuid";"Albrandswaard                           ";150;120;15;15
"Wijk 05 Buitengebied Albrandswaard";"Albrandswaard                           ";245;220;15;15
"Portland-Koedoodzone";"Albrandswaard                           ";10;10;0;0
"Buitengebied";"Albrandswaard                           ";240;205;10;15
"Wijk 06 Portland";"Albrandswaard                           ";7480;5025;485;1970
"Driehoek";"Albrandswaard                           ";2405;1505;180;720
"Portland-Centrum";"Albrandswaard                           ";1645;1090;70;485
"Wijkpark Portland";"Albrandswaard                           ";130;105;15;10
"De Eilanden";"Albrandswaard                           ";3300;2325;225;755
"Wijk 07 Rotterdam-Albrandswaard";"Albrandswaard                           ";0;0;0;0
"Distripark";"Albrandswaard                           ";0;0;0;0
"Alkmaar";"Alkmaar                                 ";112304;83517;8930;19857
"Zuid";"Alkmaar                                 ";14510;11315;960;2230
"Kooimeer";"Alkmaar                                 ";2180;1260;150;770
"Dillenburg en Stadhouderskwartier";"Alkmaar                                 ";1350;1040;75;235
"Staatsliedenkwartier en Landstraten";"Alkmaar                                 ";2070;1580;120;375
"Oud-Rochdale";"Alkmaar                                 ";790;575;55;160
"Emmakwartier";"Alkmaar                                 ";1655;1380;120;155
"Nassaukwartier en Hout";"Alkmaar                                 ";1570;1315;110;140
"Oranjepark";"Alkmaar                                 ";1240;1080;75;80
"Cranenbroek";"Alkmaar                                 ";560;485;45;25
"Bloemwijk en Zocherkwartier";"Alkmaar                                 ";1510;1215;125;170
"Burgemeesterskwartier";"Alkmaar                                 ";1595;1385;85;120
"Oudorp";"Alkmaar                                 ";13650;10475;945;2225
"Rekerbuurt en Ooievaarsnest";"Alkmaar                                 ";2175;1830;120;230
"Oudorp-Noord en Oudorp-Oost";"Alkmaar                                 ";2275;1830;145;300
"Oudorp-Centrum";"Alkmaar                                 ";1965;1685;120;160
"Schermereiland en Omval";"Alkmaar                                 ";1800;1435;170;195
"Oudorperpolder-Zuid";"Alkmaar                                 ";2175;1070;180;930
"Oudorperpolder-Midden";"Alkmaar                                 ";555;405;55;95
"Oudorperpolder-Noord";"Alkmaar                                 ";1100;855;75;175
"De Nollen";"Alkmaar                                 ";1540;1335;75;140
"Beverkoog";"Alkmaar                                 ";55;40;10;5
"Overdie";"Alkmaar                                 ";8210;4260;650;3295
"Oud-Overdie";"Alkmaar                                 ";2825;1940;240;645
"Oosterhout";"Alkmaar                                 ";945;660;65;215
"Overdie-Oost";"Alkmaar                                 ";3265;920;230;2120
"Overdie-West";"Alkmaar                                 ";1155;725;115;320
"Boekelermeer-Zuid";"Alkmaar                                 ";0;0;0;0
"Boekelermeer-Noord";"Alkmaar                                 ";20;15;0;0
"West";"Alkmaar                                 ";12830;9060;1355;2415
"De Hoef III en IV";"Alkmaar                                 ";3645;2095;305;1235
"De Hoef I en II";"Alkmaar                                 ";3345;2445;330;570
"Bergerwegkwartier";"Alkmaar                                 ";1535;1300;80;150
"Bergerhof en Blaeustraatkwartier";"Alkmaar                                 ";1870;1395;295;175
"Bergermeer";"Alkmaar                                 ";2075;1635;245;195
"Landelijk gebied-West";"Alkmaar                                 ";360;195;90;75
"Huiswaard";"Alkmaar                                 ";7725;5295;675;1760
"Huiswaard-1-Zuid";"Alkmaar                                 ";2990;1850;300;840
"Muiderwaard";"Alkmaar                                 ";660;380;55;220
"Huiswaard-2-West";"Alkmaar                                 ";2280;1835;160;290
"Huiswaard-2-Oost";"Alkmaar                                 ";1790;1230;160;405
"De Mare";"Alkmaar                                 ";15590;11220;1390;2980
"'t Rak-Zuid";"Alkmaar                                 ";3675;2790;355;530
"'t Rak-Noord";"Alkmaar                                 ";2990;2200;265;530
"De Horn-Noord";"Alkmaar                                 ";3235;2360;270;600
"De Horn-Zuid";"Alkmaar                                 ";3265;2410;295;560
"De Mare";"Alkmaar                                 ";2430;1460;205;765
"Daalmeer/Koedijk";"Alkmaar                                 ";12720;9855;920;1940
"Daalmeer-Zuidoost";"Alkmaar                                 ";2755;2170;160;420
"Daalmeer-Zuidwest";"Alkmaar                                 ";2775;1905;255;610
"Koedijk en De Weijdt";"Alkmaar                                 ";2375;1960;165;250
"Daalmeer-Noordwest";"Alkmaar                                 ";2395;1955;170;270
"Daalmeer-Noordoost";"Alkmaar                                 ";2405;1845;170;385
"Landelijk gebied Noord";"Alkmaar                                 ";20;15;0;0
"Centrum";"Alkmaar                                 ";9555;7135;1070;1350
"Binnenstad-West";"Alkmaar                                 ";3020;2160;390;465
"Binnenstad-Oost";"Alkmaar                                 ";3325;2585;310;425
"Spoorbuurt";"Alkmaar                                 ";2325;1675;295;360
"Overstad";"Alkmaar                                 ";890;725;70;100
"Schermer";"Alkmaar                                 ";5640;5080;255;300
"Oterleek";"Alkmaar                                 ";610;550;35;20
"Ursem";"Alkmaar                                 ";75;70;0;0
"Stompetoren";"Alkmaar                                 ";2100;1870;100;130
"Schermerhorn";"Alkmaar                                 ";1260;1135;60;60
"Zuidschermer";"Alkmaar                                 ";655;605;10;35
"Driehuizen";"Alkmaar                                 ";230;195;15;15
"Grootschermer";"Alkmaar                                 ";710;650;35;25
"Graft-De Rijp";"Alkmaar                                 ";6680;5940;325;420
"Noordeinde";"Alkmaar                                 ";85;80;5;5
"West-Graftdijk";"Alkmaar                                 ";760;675;30;50
"Graft";"Alkmaar                                 ";885;820;25;40
"De Rijp";"Alkmaar                                 ";4270;3760;225;290
"Oost-Graftdijk";"Alkmaar                                 ";145;135;0;5
"Starnmeer";"Alkmaar                                 ";220;200;10;5
"Markenbinnen";"Alkmaar                                 ";320;280;15;20
"Vroonermeer";"Alkmaar                                 ";5200;3875;385;940
"Vroonermeer-Zuid";"Alkmaar                                 ";3035;2185;245;605
"Vroonermeer-Noord";"Alkmaar                                 ";2165;1690;135;340
"Almelo";"Almelo                                  ";74317;52636;6243;15438
"Binnenstad";"Almelo                                  ";5620;4105;555;960
"Binnenstad Noord";"Almelo                                  ";2360;1815;230;315
"Binnenstad Zuid";"Almelo                                  ";1300;935;125;245
"Ulk en omgeving";"Almelo                                  ";970;630;105;235
"Java en omgeving";"Almelo                                  ";985;730;95;165
"De Riet";"Almelo                                  ";7130;4915;750;1470
"Bornsestraat Midden-Riet Noord";"Almelo                                  ";1010;760;110;145
"Bornsestraat en omgeving Zuid";"Almelo                                  ";1495;1105;125;265
"Arendsboer en omgeving Noord";"Almelo                                  ";1225;930;140;155
"Nieuwland";"Almelo                                  ";2030;1195;205;630
"Arendsboer en omgeving Zuid-Riet Zuid";"Almelo                                  ";1225;825;165;240
"Bedrijventerrein Bornsestraat";"Almelo                                  ";80;40;5;35
"Verspreide huizen wijk 11";"Almelo                                  ";60;60;0;0
"Noorderkwartier";"Almelo                                  ";6615;5110;695;810
"Vriezenveenseweg e.o. Haghoek Oost";"Almelo                                  ";1305;1055;85;165
"Parkweg en omgeving";"Almelo                                  ";2090;1855;95;140
"Vriezenveenseweg e.o. Haghoek West";"Almelo                                  ";1800;1065;410;325
"Indië";"Almelo                                  ";1005;780;75;150
"Bedrijventerrein Dollegoor Turfkade";"Almelo                                  ";65;50;10;5
"Bedrijvenpark Twente";"Almelo                                  ";0;0;0;0
"Aaboer";"Almelo                                  ";245;210;10;25
"Verspreide huizen wijk 12";"Almelo                                  ";110;90;5;10
"Sluitersveld";"Almelo                                  ";6995;5395;470;1135
"Ootmarsumsestraat en omgeving";"Almelo                                  ";1595;1190;105;300
"Markgraven";"Almelo                                  ";1290;1125;55;105
"Rumerslanden";"Almelo                                  ";805;575;80;145
"Wester Sluitersveldlanden";"Almelo                                  ";1665;1070;155;435
"Robbenhaarsweg Noord";"Almelo                                  ";675;585;25;65
"Mooie Vrouwenweg en omgeving";"Almelo                                  ";815;700;40;75
"Verspreide huizen wijk 13";"Almelo                                  ";155;145;5;5
"Wierdense Hoek";"Almelo                                  ";6510;3290;630;2595
"Rohof en omgeving";"Almelo                                  ";505;410;30;80
"Wierdensebrug en omgeving";"Almelo                                  ";50;45;0;5
"Kerkelanden";"Almelo                                  ";1290;365;200;720
"Aalderinkshoek Noordoost";"Almelo                                  ";940;545;90;305
"Aalderinkshoek Zuidoost";"Almelo                                  ";570;420;55;95
"Aalderinkshoek Noordwest";"Almelo                                  ";1850;600;150;1100
"Aalderinkshoek Zuidwest";"Almelo                                  ";1055;685;105;265
"Verspreide huizen wijk 14";"Almelo                                  ";250;230;5;15
"Nieuwstraat-Kwartier";"Almelo                                  ";3255;1700;490;1060
"Nieuwstraat -Witvoet en omgeving";"Almelo                                  ";1065;505;165;395
"Wonde en omgeving";"Almelo                                  ";1515;800;265;455
"Achterlanden en omgeving";"Almelo                                  ";675;400;65;210
"Ossenkoppelerhoek";"Almelo                                  ";6510;3645;735;2130
"Boomplaats";"Almelo                                  ";930;635;150;150
"Ossenkoppelerhoek Oost";"Almelo                                  ";920;475;135;310
"Beeklust";"Almelo                                  ";825;355;75;400
"Ossenkoppelerhoek Midden Noord";"Almelo                                  ";985;545;135;310
"Ossenkoppelerhoek West";"Almelo                                  ";1820;1275;150;390
"Ossenkoppelerhoek Midden Zuid";"Almelo                                  ";1025;365;95;570
"Hofkamp";"Almelo                                  ";3745;3080;230;430
"Hofkamp West";"Almelo                                  ";710;615;25;65
"Hofkamp Oost";"Almelo                                  ";1175;890;135;155
"Paradijs";"Almelo                                  ";350;295;15;40
"Kollenveld";"Almelo                                  ";1220;1010;45;165
"Verspreide huizen wijk 17";"Almelo                                  ";290;270;10;10
"Schelfhorst";"Almelo                                  ";10645;7715;745;2185
"Schelfhorst Zuidwest";"Almelo                                  ";1165;940;70;155
"Drakensteyn en omgeving";"Almelo                                  ";1425;895;130;405
"Schelfhorst Noordwest";"Almelo                                  ";2000;1315;140;545
"Havezathe";"Almelo                                  ";1600;880;120;605
"Schelfhorst Noordoost";"Almelo                                  ";1335;1135;90;110
"Schelfhorst Zuidoost";"Almelo                                  ";3095;2535;200;365
"Veenelanden";"Almelo                                  ";20;15;0;0
"Windmolenbroek";"Almelo                                  ";13690;10320;815;2555
"Groeneveld";"Almelo                                  ";475;395;30;55
"Kanaalzijde";"Almelo                                  ";1420;945;95;380
"Leemslagen Noord";"Almelo                                  ";1425;790;140;495
"Leemslagen Zuid";"Almelo                                  ";1730;1280;140;305
"Zeven Bosjes";"Almelo                                  ";1200;1005;45;150
"Leemslagen Oost";"Almelo                                  ";1165;870;70;225
"Huttenveld";"Almelo                                  ";2115;1775;105;235
"Maardijk";"Almelo                                  ";970;825;45;95
"Bedrijventerrein Twentepoort - Stadion";"Almelo                                  ";155;125;10;15
"Nijrees";"Almelo                                  ";3025;2295;140;590
"Bedrijventerrein XL Businesspark";"Almelo                                  ";0;0;0;0
"Verspreide huizen wijk 19";"Almelo                                  ";15;15;0;0
"Aadorp";"Almelo                                  ";1530;1385;80;65
"Aadorp West";"Almelo                                  ";395;360;20;15
"Aadorp Oost";"Almelo                                  ";1135;1020;60;45
"Bornerbroek";"Almelo                                  ";2065;1980;45;45
"Bornerbroek Kern";"Almelo                                  ";1245;1195;20;30
"Verspreide huizen wijk 21";"Almelo                                  ";820;780;20;15
"Almere";"Almere                                  ";226500;114731;20124;91645
"Centrum Almere Haven";"Almere                                  ";1765;1020;140;605
"Centrum Haven Noord";"Almere                                  ";795;310;80;405
"Centrum Haven Zuid";"Almere                                  ";965;705;60;205
"De Werven";"Almere                                  ";2880;1720;205;950
"Rozenwerf en Tuinderswerf";"Almere                                  ";585;380;50;160
"Achterwerf";"Almere                                  ";680;485;50;150
"Goedewerf en Wittewerf";"Almere                                  ";560;295;50;220
"Schoolwerf";"Almere                                  ";510;280;25;205
"Parkwerf en Stadswerf";"Almere                                  ";540;290;35;215
"De Hoven";"Almere                                  ";2495;1350;190;960
"Buitenhof en Groenhof";"Almere                                  ";655;500;60;100
"Middenhof en Uithof";"Almere                                  ";830;385;75;375
"Binnenhof en Langshof (met Nieuwstraat)";"Almere                                  ";1005;465;60;485
"Park Uithof";"Almere                                  ";0;0;0;0
"De Meenten";"Almere                                  ";2200;1570;175;455
"Jaagmeent en Grasmeent";"Almere                                  ";715;515;40;165
"Schapenmeent en Terpmeent";"Almere                                  ";785;605;75;110
"Rietmeent en Dijkmeent";"Almere                                  ";695;455;60;180
"De Grienden";"Almere                                  ";2310;1625;200;490
"Klavergriend, Klippriend en Wilgengriend";"Almere                                  ";880;615;65;200
"Kolkgriend en Oostgriend";"Almere                                  ";870;615;85;170
"Kadegriend en Overgriend";"Almere                                  ";555;395;45;120
"Bosgebied De Grienden";"Almere                                  ";0;0;0;0
"De Marken";"Almere                                  ";2995;1965;220;810
"Hofmark, Redemark en Sportmark";"Almere                                  ";1420;1005;135;285
"Ambachtsmark, Vrijmark en Zuidmark";"Almere                                  ";1060;560;50;450
"Brugmark, Noordmark en Gildemark";"Almere                                  ";510;400;40;75
"Sportpark De Marken";"Almere                                  ";0;0;0;0
"Splittershoek";"Almere                                  ";0;0;0;0
"Vliegerpark";"Almere                                  ";0;0;0;0
"De Gouwen";"Almere                                  ";2720;1995;245;485
"Lindengouw, Muidergouw en Peppengouw";"Almere                                  ";1090;840;85;160
"Kromgouw en Overgouw";"Almere                                  ";530;415;40;70
"Bosgouw, Brongouw en Nijvergouw";"Almere                                  ";1110;740;115;255
"Bedrijventerrein De Paal";"Almere                                  ";0;0;0;0
"De Wierden";"Almere                                  ";3655;1970;255;1435
"Kornwierde en Leemwierde";"Almere                                  ";1000;500;70;425
"Keiwierde en Oldewierde";"Almere                                  ";1080;470;75;530
